response_variable,horizon,WTI CRUDE,NATURAL GAS,GOLD,CORN,WHEAT,SOYBEANS,COPPER,SILVER
WTI CRUDE,1,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WTI CRUDE,2,0.999161109537908,0.000160363023044712,0.00010857481392750946,9.925438567216705e-08,5.341550641558812e-07,0.00023999049874156447,0.0002828636694131893,4.6465047515014936e-05
WTI CRUDE,3,0.9991540605144816,0.00016211085275405918,0.00010879625296404951,4.5081597942597973e-07,5.768982594870207e-07,0.00023999163000968784,0.0002868028819277299,4.721015362389639e-05
WTI CRUDE,4,0.9991540202396818,0.0001621186763748946,0.00010879711636514852,4.5081600497023206e-07,5.792432388620024e-07,0.00023999178433206422,0.00028682574110651165,4.7216382895690485e-05
WTI CRUDE,5,0.9991540200848853,0.0001621187015101321,0.0001087971166085387,4.5081600512315194e-07,5.792591187722573e-07,0.0002399917954840655,0.00028682580642378993,4.7216419964250004e-05
WTI CRUDE,6,0.9991540200844965,0.00016211870154720956,0.0001087971166088569,4.508160111449708e-07,5.792591743844085e-07,0.00023999179554669704,0.00028682580650718845,4.72164201079096e-05
WTI CRUDE,7,0.9991540200844957,0.00016211870154720918,0.0001087971166088962,4.5081601116326056e-07,5.792591744873198e-07,0.00023999179554699102,0.0002868258065071902,4.721642010822788e-05
WTI CRUDE,8,0.9991540200844957,0.00016211870154720986,0.00010879711660889657,4.508160111633669e-07,5.792591744873311e-07,0.00023999179554699173,0.0002868258065071923,4.7216420108228034e-05
WTI CRUDE,9,0.9991540200844957,0.00016211870154720986,0.00010879711660889657,4.5081601116336713e-07,5.79259174487332e-07,0.00023999179554699173,0.00028682580650719235,4.7216420108228034e-05
WTI CRUDE,10,0.9991540200844957,0.00016211870154720986,0.00010879711660889657,4.5081601116336713e-07,5.79259174487332e-07,0.00023999179554699173,0.00028682580650719235,4.7216420108228034e-05
WTI CRUDE,11,0.9991540200844957,0.00016211870154720986,0.00010879711660889657,4.5081601116336713e-07,5.79259174487332e-07,0.00023999179554699173,0.00028682580650719235,4.7216420108228034e-05
WTI CRUDE,12,0.9991540200844957,0.00016211870154720986,0.00010879711660889657,4.5081601116336713e-07,5.79259174487332e-07,0.00023999179554699173,0.00028682580650719235,4.7216420108228034e-05
NATURAL GAS,1,0.038521461144726564,0.9614785388552736,0.0,0.0,0.0,0.0,0.0,0.0
NATURAL GAS,2,0.040066937509293514,0.9584165054539864,8.38304718138258e-06,5.387608779781765e-05,0.0002712388358202027,0.0004761503061008324,0.0002017212888623593,0.0005051874709576576
NATURAL GAS,3,0.04008921037726788,0.9583792097564549,8.467201664335307e-06,5.424626840153666e-05,0.00027141670636250724,0.0004776422002499159,0.00020826196503093898,0.0005115455245682451
NATURAL GAS,4,0.0400894214658303,0.958378883450069,8.467214510898035e-06,5.424625521266721e-05,0.00027141687001770915,0.0004776496195680999,0.0002083419934131292,0.0005115731313782498
NATURAL GAS,5,0.04008942271706766,0.9583788814107035,8.467217961061853e-06,5.4246255124475835e-05,0.00027141689093996467,0.0004776496444260095,0.00020834268283872773,0.0005115731809386755
NATURAL GAS,6,0.04008942272150954,0.9583788814009199,8.467218019966183e-06,5.424625512573171e-05,0.0002714168911874491,0.00047764964447129905,0.00020834268783094138,0.0005115731809352389
NATURAL GAS,7,0.04008942272151622,0.9583788814008803,8.467218020351176e-06,5.424625512573628e-05,0.00027141689118985,0.0004776496444712796,0.00020834268786025395,0.0005115731809360842
NATURAL GAS,8,0.040089422721516214,0.9583788814008801,8.467218020352611e-06,5.4246255125736416e-05,0.00027141689118986585,0.00047764964447128083,0.00020834268786039175,0.0005115731809360992
NATURAL GAS,9,0.040089422721516214,0.9583788814008801,8.467218020352614e-06,5.4246255125736416e-05,0.0002714168911898659,0.00047764964447128083,0.00020834268786039224,0.0005115731809360993
NATURAL GAS,10,0.040089422721516214,0.9583788814008801,8.467218020352614e-06,5.4246255125736416e-05,0.0002714168911898659,0.00047764964447128083,0.00020834268786039224,0.0005115731809360993
NATURAL GAS,11,0.040089422721516214,0.9583788814008801,8.467218020352614e-06,5.4246255125736416e-05,0.0002714168911898659,0.00047764964447128083,0.00020834268786039224,0.0005115731809360993
NATURAL GAS,12,0.040089422721516214,0.9583788814008801,8.467218020352614e-06,5.4246255125736416e-05,0.0002714168911898659,0.00047764964447128083,0.00020834268786039224,0.0005115731809360993
GOLD,1,0.0345842211201334,0.0006267183221885477,0.9647890605576782,0.0,0.0,0.0,0.0,0.0
GOLD,2,0.034536297935865434,0.0007126987023983975,0.9634266417714252,0.00039313221477112024,0.00030717910305163264,5.4342881352257176e-05,0.0003597181507499354,0.00020998924038609528
GOLD,3,0.03453893829167359,0.0007127029952634557,0.9634220934004416,0.00039351891743487225,0.00030787858888886826,5.438644791599702e-05,0.0003603529915363417,0.0002101283668453188
GOLD,4,0.03453895239916734,0.0007127040482971401,0.9634220735657608,0.00039351929582522635,0.0003078790602157587,5.438652368269088e-05,0.0003603565511574612,0.00021012855589353484
GOLD,5,0.034538952413082996,0.0007127040638064068,0.9634220734997904,0.00039351929592784305,0.0003078790629586124,5.438652373176132e-05,0.0003603565773549781,0.00021012856334708281
GOLD,6,0.0345389524130861,0.0007127040638900523,0.9634220734994768,0.0003935192959278107,0.00030787906297291844,5.438652373558586e-05,0.00036035657749478256,0.00021012856341596524
GOLD,7,0.034538952413087104,0.0007127040638903208,0.9634220734994746,0.0003935192959278098,0.0003078790629730355,5.4386523735658646e-05,0.0003603565774951702,0.0002101285634163398
GOLD,8,0.03453895241308712,0.0007127040638903212,0.9634220734994746,0.0003935192959278098,0.0003078790629730358,5.438652373565926e-05,0.00036035657749517054,0.0002101285634163412
GOLD,9,0.03453895241308712,0.0007127040638903212,0.9634220734994746,0.0003935192959278098,0.0003078790629730358,5.438652373565926e-05,0.00036035657749517054,0.0002101285634163412
GOLD,10,0.03453895241308712,0.0007127040638903212,0.9634220734994746,0.0003935192959278098,0.0003078790629730358,5.438652373565926e-05,0.00036035657749517054,0.0002101285634163412
GOLD,11,0.03453895241308712,0.0007127040638903212,0.9634220734994746,0.0003935192959278098,0.0003078790629730358,5.438652373565926e-05,0.00036035657749517054,0.0002101285634163412
GOLD,12,0.03453895241308712,0.0007127040638903212,0.9634220734994746,0.0003935192959278098,0.0003078790629730358,5.438652373565926e-05,0.00036035657749517054,0.0002101285634163412
CORN,1,0.034965179522228766,0.002506663041167476,0.01119818336701863,0.9513299740695851,0.0,0.0,0.0,0.0
CORN,2,0.0351610790905762,0.0027885118586722865,0.011201239081703009,0.9499550965920118,0.0004087318176870603,3.298706933737973e-06,0.0004038247118013025,7.821814061449764e-05
